iter	Passed	Remaining
229	303	1017
230	304	1013
231	305	1010
232	306	1007
233	306	1004
234	307	1000
235	308	997
236	308	993
237	309	990
238	310	987
239	310	983
240	311	980
241	311	976
242	312	973
243	313	970
244	313	967
245	314	964
246	315	961
247	316	959
248	317	956
249	317	953
250	318	950
251	319	947
252	319	944
253	320	941
254	321	938
255	322	935
256	322	933
257	323	930
258	324	927
259	324	924
260	325	921
261	326	918
262	326	915
263	327	912
264	328	909
265	328	907
266	329	904
267	330	901
268	330	898
269	331	895
270	331	893
271	332	890
272	333	887
273	334	885
274	334	882
275	335	879
276	335	876
277	336	874
278	337	871
279	338	869
280	338	866
281	339	864
282	340	861
283	340	859
284	341	857
285	342	854
286	343	852
287	343	849
288	344	847
289	344	844
290	345	842
291	346	839
292	346	836
293	347	834
294	348	831
295	348	829
296	349	827
297	350	824
298	350	822
299	351	819
300	351	817
301	352	814
302	353	812
303	353	809
304	354	807
305	355	805
306	355	803
307	356	800
308	357	798
309	357	796
310	358	794
311	359	791
312	359	789
313	360	787
314	361	785
315	361	783
316	362	781
317	363	778
318	363	776
319	364	774
320	365	772
321	365	769
322	366	767
323	366	765
324	367	763
325	368	761
326	369	760
327	369	757
328	370	755
329	371	753
330	371	751
331	372	749
332	373	747
333	373	745
334	374	743
335	374	741
336	375	739
337	376	737
338	376	735
339	377	733
340	378	731
341	378	729
342	379	727
343	380	725
344	380	723
345	381	721
346	382	719
347	382	717
348	383	715
349	384	713
350	384	711
351	385	709
352	385	707
353	386	705
354	387	703
355	387	701
356	388	699
357	389	697
358	389	695
359	390	693
360	390	691
361	391	690
362	392	688
363	392	686
364	393	684
365	394	682
366	394	680
367	395	679
368	396	677
369	396	675
370	397	673
371	398	672
372	398	670
373	399	668
374	400	666
375	400	665
376	401	663
377	402	661
378	402	659
379	403	658
380	404	656
381	404	654
382	405	652
383	405	651
384	406	649
385	407	647
386	407	646
387	408	644
388	409	642
389	409	641
390	410	639
391	411	637
392	411	636
393	412	634
394	413	632
395	413	631
396	414	629
397	414	627
398	415	626
399	416	624
400	417	622
401	417	621
402	418	619
403	418	618
404	419	616
405	420	614
406	420	613
407	421	611
408	422	610
409	423	608
410	423	607
411	424	605
412	424	603
413	425	602
414	426	600
415	426	599
416	427	597
417	428	596
418	428	594
419	429	592
420	430	591
421	430	589
422	431	588
423	431	586
424	432	585
425	433	583
426	433	582
427	434	580
428	435	579
429	435	577
430	436	576
431	437	574
432	437	573
433	438	571
434	439	570
435	439	568
436	440	567
437	441	565
438	441	564
439	442	562
440	442	561
441	443	560
442	444	558
443	444	557
444	445	555
445	446	554
446	446	552
447	447	551
448	448	550
449	448	548
450	449	547
451	450	546
452	451	544
453	451	543
454	452	542
455	453	540
456	454	539
457	454	538
458	455	536
459	456	535
460	456	534
461	457	532
462	458	531
463	459	530
464	459	528
465	460	527
466	461	526
467	461	524
468	462	523
469	463	522
470	463	520
471	464	519
472	464	518
473	465	516
474	466	515
475	466	513
476	467	512
477	468	511
478	468	509
479	469	508
480	470	507
481	470	505
482	471	504
483	472	503
484	472	501
485	473	500
486	473	499
487	474	497
488	475	496
489	476	495
490	476	494
491	477	493
492	478	491
493	479	490
494	479	489
495	480	488
496	481	487
497	481	485
498	482	484
499	483	483
500	484	482
501	484	480
502	485	479
503	485	478
504	486	476
505	487	475
506	487	474
507	488	473
508	489	471
509	489	470
510	490	469
511	491	468
512	491	467
513	492	465
514	493	464
515	494	463
516	494	462
517	495	460
518	496	459
519	496	458
520	497	457
521	498	456
522	498	455
523	499	453
524	500	452
525	500	451
526	501	450
527	502	448
528	502	447
529	503	446
530	504	445
531	504	444
532	505	442
533	506	441
534	506	440
535	507	439
536	508	438
537	508	436
538	509	435
539	509	434
540	510	433
541	511	431
542	511	430
543	512	429
544	513	428
545	513	427
546	514	425
547	515	424
548	515	423
549	516	422
550	517	421
551	517	420
552	518	419
553	519	417
554	519	416
555	520	415
556	521	414
557	521	413
558	522	412
559	523	411
560	523	409
561	524	408
562	525	407
563	525	406
564	526	405
565	527	404
566	527	402
567	528	401
568	528	400
569	529	399
570	530	398
571	531	397
572	531	396
573	532	395
574	532	393
575	533	392
576	534	391
577	534	390
578	535	389
579	536	388
580	536	387
581	537	386
582	538	384
583	538	383
584	539	382
585	540	381
586	540	380
587	541	379
588	542	378
589	542	377
590	543	375
591	544	374
592	544	373
593	545	372
594	545	371
595	546	370
596	547	369
597	547	368
598	548	367
599	549	366
600	549	364
601	550	363
602	550	362
603	551	361
604	552	360
605	552	359
606	553	358
607	554	357
608	554	356
609	555	355
610	556	354
611	556	353
612	557	351
613	558	350
614	558	349
615	559	348
616	560	347
617	560	346
618	561	345
619	562	344
620	562	343
621	563	342
622	564	341
623	564	340
624	565	339
625	566	338
626	566	337
627	567	336
628	567	334
629	568	333
630	569	332
631	569	331
632	570	330
633	571	329
634	571	328
635	572	327
636	573	326
637	573	325
638	574	324
639	575	323
640	575	322
641	576	321
642	577	320
643	577	319
644	578	318
645	578	317
646	579	316
647	580	315
648	580	314
649	581	313
650	582	312
651	582	311
652	583	310
653	584	309
654	584	308
655	585	307
656	586	306
657	586	304
658	587	303
659	588	302
660	588	301
661	589	300
662	590	299
663	590	298
664	591	297
665	592	296
666	592	295
667	593	294
668	594	294
669	595	293
670	595	292
671	596	291
672	597	290
673	597	289
674	598	288
675	599	287
676	599	286
677	600	285
678	601	284
679	601	283
680	602	282
681	603	281
682	603	280
683	604	279
684	605	278
685	605	277
686	606	276
687	607	275
688	607	274
689	608	273
690	609	272
691	609	271
692	610	270
693	611	269
694	611	268
695	612	267
696	613	266
697	613	265
698	614	264
699	615	263
700	615	262
701	616	261
702	617	260
703	617	259
704	618	258
705	618	257
706	619	256
707	620	255
708	620	254
709	621	253
710	621	252
711	622	251
712	623	250
713	623	249
714	624	248
715	625	248
716	626	247
717	626	246
718	627	245
719	627	244
720	628	243
721	629	242
722	629	241
723	630	240
724	631	239
725	631	238
726	632	237
727	633	236
728	633	235
729	634	234
730	635	233
731	635	232
732	636	231
733	637	230
734	637	229
735	638	229
736	639	228
737	639	227
738	640	226
739	641	225
740	641	224
741	642	223
742	643	222
743	643	221
744	644	220
745	645	219
746	645	218
747	646	217
748	647	216
749	647	215
750	648	214
751	649	214
752	649	213
753	650	212
754	650	211
755	651	210
756	652	209
757	653	208
758	653	207
759	654	206
760	654	205
761	655	204
762	656	203
763	656	202
764	657	202
765	658	201
766	658	200
767	659	199
768	660	198
769	660	197
770	661	196
771	662	195
772	662	194
773	663	193
774	664	192
775	664	191
776	665	190
777	666	190
778	666	189
779	667	188
780	668	187
781	668	186
782	669	185
783	670	184
784	670	183
785	671	182
786	671	181
787	672	180
788	673	180
789	673	179
790	674	178
791	675	177
792	675	176
793	676	175
794	677	174
795	677	173
796	678	172
797	679	171
798	680	171
799	681	170
800	682	169
801	683	168
802	683	167
803	684	166
804	685	166
805	685	165
806	686	164
807	687	163
808	687	162
809	688	161
810	689	160
811	689	159
812	690	158
813	691	157
814	691	157
815	692	156
816	693	155
817	693	154
818	694	153
819	695	152
820	695	151
821	696	150
822	696	149
823	697	148
824	698	148
825	698	147
826	699	146
827	700	145
828	700	144
829	701	143
830	702	142
831	702	141
832	703	141
833	704	140
834	704	139
835	705	138
836	705	137
837	706	136
838	707	135
839	708	134
840	708	133
841	709	133
842	710	132
843	710	131
844	711	130
845	711	129
846	712	128
847	713	127
848	713	126
849	714	126
850	715	125
851	715	124
852	716	123
853	717	122
854	717	121
855	718	120
856	719	119
857	719	119
858	720	118
859	721	117
860	721	116
861	722	115
862	723	114
863	723	113
864	724	113
865	725	112
866	725	111
867	726	110
868	727	109
869	727	108
870	728	107
871	728	107
872	729	106
873	730	105
874	730	104
875	731	103
876	732	102
877	733	101
878	733	101
879	734	100
880	735	99
881	735	98
882	736	97
883	736	96
884	737	95
885	738	94
886	738	94
887	739	93
888	740	92
889	740	91
890	741	90
891	742	89
892	742	89
893	743	88
894	744	87
895	744	86
896	745	85
897	746	84
898	746	83
899	747	83
900	748	82
901	748	81
902	749	80
903	750	79
904	750	78
905	751	77
906	752	77
907	752	76
908	753	75
909	754	74
910	754	73
911	755	72
912	756	72
913	756	71
914	757	70
915	757	69
916	758	68
917	759	67
918	760	66
919	760	66
920	761	65
921	762	64
922	762	63
923	763	62
924	763	61
925	764	61
926	765	60
927	765	59
928	766	58
929	767	57
930	767	56
931	768	56
932	769	55
933	769	54
934	770	53
935	770	52
936	771	51
937	772	51
938	772	50
939	773	49
940	774	48
941	774	47
942	775	46
943	775	46
944	776	45
945	777	44
946	777	43
947	778	42
948	779	41
949	779	41
950	780	40
951	781	39
952	781	38
953	782	37
954	783	36
955	783	36
956	784	35
957	785	34
958	785	33
959	786	32
960	787	31
961	787	31
962	788	30
963	789	29
964	789	28
965	790	27
966	790	26
967	791	26
968	792	25
969	792	24
970	793	23
971	794	22
972	794	22
973	795	21
974	796	20
975	796	19
976	797	18
977	798	17
978	798	17
979	799	16
980	800	15
981	800	14
982	801	13
983	802	13
984	803	12
985	803	11
986	804	10
987	805	9
988	805	8
989	806	8
990	807	7
991	807	6
992	808	5
993	808	4
994	809	4
995	810	3
996	810	2
997	811	1
998	812	0
999	812	0
